"""Discount Amount"" (Y) must not exceed ""Discount Qty Step"" (X), or no discount will apply.","""Rabattbetrag"" (Y) darf ""Rabatt-Mengenschritt"" (X) nicht überschreiten, sonst wird kein Rabatt angewendet."
"+ New Campaign","+ Neue Kampagne"
"+%1 min","+%1 Min."
"Abandoned Cart Recovery","Wiederherstellung abgebrochener Warenkörbe"
"Action","Aktion"
"Action timeline","Aktions-Zeitachse"
"Actions","Aktionen"
"Actions (run in order)","Aktionen (werden der Reihe nach ausgeführt)"
"Add Action","Aktion hinzufügen"
"Add Condition","Bedingung hinzufügen"
"Add New Campaign","Neue Kampagne hinzufügen"
"Add New Content Block","Neuen Inhaltsblock hinzufügen"
"Add New Free Gift Offer","Neues Geschenkangebot hinzufügen"
"Add New Score Rule","Neue Bewertungsregel hinzufügen"
"Add New Segment","Neues Segment hinzufügen"
"Add Points","Punkte hinzufügen"
"Add SKU","SKU hinzufügen"
"Add Tag","Tag hinzufügen"
"Add Tier","Stufe hinzufügen"
"Add Trigger","Auslöser hinzufügen"
"Apply flow to form & Save","Ablauf auf Formular anwenden & speichern"
"Are you sure you want to delete this %1?","Möchten Sie ""%1"" wirklich löschen?"
"Are you sure you want to delete this campaign?","Möchten Sie diese Kampagne wirklich löschen?"
"Are you sure you want to delete this content block?","Möchten Sie diesen Inhaltsblock wirklich löschen?"
"Are you sure you want to delete this free gift offer?","Möchten Sie dieses Geschenkangebot wirklich löschen?"
"Are you sure you want to delete this score rule?","Möchten Sie diese Bewertungsregel wirklich löschen?"
"Are you sure you want to delete this segment?","Möchten Sie dieses Segment wirklich löschen?"
"Assigned Sales Rep — Email","Zugewiesener Vertriebsmitarbeiter — E-Mail"
"Assigned Sales Rep — Name","Zugewiesener Vertriebsmitarbeiter — Name"
"Assigned Sales Rep — Phone","Zugewiesener Vertriebsmitarbeiter — Telefon"
"Attribute","Attribut"
"Attribute Code","Attributcode"
"Avg. Interval (days)","Durchschn. Intervall (Tage)"
