"""Discount Amount"" (Y) must not exceed ""Discount Qty Step"" (X), or no discount will apply.","「割引数量」（Y）は「割引数量ステップ」（X）を超えることはできません。超えると割引が適用されません。"
"+ New Campaign","+ 新規キャンペーン"
"+%1 min","+%1分"
"Abandoned Cart Recovery","カゴ落ち復旧"
"Action","アクション"
"Action timeline","アクションのタイムライン"
"Actions","アクション"
"Actions (run in order)","アクション（順番に実行）"
"Add Action","アクションを追加"
"Add Condition","条件を追加"
"Add New Campaign","新規キャンペーンを追加"
"Add New Content Block","新規コンテンツブロックを追加"
"Add New Free Gift Offer","新規ノベルティオファーを追加"
"Add New Score Rule","新規スコアルールを追加"
"Add New Segment","新規セグメントを追加"
"Add Points","ポイントを加算"
"Add SKU","SKUを追加"
"Add Tag","タグを追加"
"Add Tier","階層を追加"
"Add Trigger","トリガーを追加"
"Apply flow to form & Save","フローをフォームに反映して保存"
"Are you sure you want to delete this %1?","この%1を削除してもよろしいですか？"
"Are you sure you want to delete this campaign?","このキャンペーンを削除してもよろしいですか？"
"Are you sure you want to delete this content block?","このコンテンツブロックを削除してもよろしいですか？"
"Are you sure you want to delete this free gift offer?","このノベルティオファーを削除してもよろしいですか？"
"Are you sure you want to delete this score rule?","このスコアルールを削除してもよろしいですか？"
"Are you sure you want to delete this segment?","このセグメントを削除してもよろしいですか？"
"Assigned Sales Rep — Email","担当営業 — メールアドレス"
"Assigned Sales Rep — Name","担当営業 — 氏名"
"Assigned Sales Rep — Phone","担当営業 — 電話番号"
"Attribute","属性"
"Attribute Code","属性コード"
"Avg. Interval (days)","平均間隔（日）"
"B2C Lifecycle Emails (Welcome / Win-back)","B2Cライフサイクルメール（ウェルカム / 休眠復帰）"
"Back","戻る"
"Block Checkout When Over Credit Limit","与信限度額超過時にチェックアウトをブロック"
"Build and manage automation campaigns","自動化キャンペーンの作成と管理"
"Bulk actions on current members","現在のメンバーへの一括操作"
"Buy %1, get %2 free — customers pay for %1 out of every %3 (%4% off that batch).","%1個購入で%2個無料 — %3個ごとに%1個分のみお支払い（そのセットが%4%オフ）。"
"CTA button URL","CTAボタンのURL"
"CTA button label","CTAボタンのラベル"
"Call-to-action button URL","CTAボタンのURL"
"Call-to-action button label","CTAボタンのラベル"
"Campaign Information","キャンペーン情報"
"Campaign Calendar","キャンペーンカレンダー"
"Campaign","キャンペーン"
"Campaign action with id ""%1"" does not exist.","ID「%1」のキャンペーンアクションは存在しません。"
"Campaign condition with id ""%1"" does not exist.","ID「%1」のキャンペーン条件は存在しません。"
"Campaign trigger with id ""%1"" does not exist.","ID「%1」のキャンペーントリガーは存在しません。"
"Campaign with id ""%1"" does not exist.","ID「%1」のキャンペーンは存在しません。"
"Campaigns","キャンペーン"
"Campaigns by trigger","トリガー別キャンペーン"
"Can be negative (a penalty rule).","マイナス値も指定可能（減点ルール）。"
"Can be negative to subtract points when this rule matches","マイナス値を指定すると、このルールに一致した際にポイントを減算します"
"Cart Abandoned","カゴ落ち"
"Cart Price Rule","カート価格ルール"
"Cart Price Rule ID","カート価格ルールID"
"Cart price rule ID","カート価格ルールID"
"Cart with id ""%1"" does not exist.","ID「%1」のカートは存在しません。"
"Cascading tiers — every tier the cart subtotal reaches ADDS its gift slots, cumulative","累積階層 — カート小計が到達した各階層のノベルティ枠が累積して加算されます"
"Category","カテゴリー"
"Category ID","カテゴリーID"
"Cheapest item in qualifying set free (Ordo Automation)","対象セット内の最安商品が無料（Ordo Automation）"
"Condition","条件"
"Conditions","条件"
"Conditions (all must match — AND)","条件（すべて一致 — AND）"
"Conditions (all must pass — AND)","条件（すべて満たす — AND）"
"Configuration","設定"
"Contains","含む"
"Content Block Information","コンテンツブロック情報"
"Content Blocks","コンテンツブロック"
"Content block","コンテンツブロック"
"Content block not found.","コンテンツブロックが見つかりません。"
"Could not add gift ""%1"" to the cart: %2","ノベルティ「%1」をカートに追加できませんでした：%2"
"Could not delete the campaign action: %1","キャンペーンアクションを削除できませんでした：%1"
"Could not delete the campaign condition: %1","キャンペーン条件を削除できませんでした：%1"
"Could not delete the campaign trigger: %1","キャンペーントリガーを削除できませんでした：%1"
"Could not delete the campaign: %1","キャンペーンを削除できませんでした：%1"
"Could not delete the content block: %1","コンテンツブロックを削除できませんでした：%1"
"Could not delete the free gift offer: %1","ノベルティオファーを削除できませんでした：%1"
"Could not delete the free gift product: %1","ノベルティ商品を削除できませんでした：%1"
"Could not delete the free gift tier: %1","ノベルティ階層を削除できませんでした：%1"
"Could not delete the offer: %1","オファーを削除できませんでした：%1"
"Could not delete the score rule: %1","スコアルールを削除できませんでした：%1"
"Could not delete the segment: %1","セグメントを削除できませんでした：%1"
"Could not save the campaign action: %1","キャンペーンアクションを保存できませんでした：%1"
"Could not save the campaign condition: %1","キャンペーン条件を保存できませんでした：%1"
"Could not save the campaign trigger: %1","キャンペーントリガーを保存できませんでした：%1"
"Could not save the campaign: %1","キャンペーンを保存できませんでした：%1"
"Could not save the content block: %1","コンテンツブロックを保存できませんでした：%1"
"Could not save the free gift offer: %1","ノベルティオファーを保存できませんでした：%1"
"Could not save the free gift product: %1","ノベルティ商品を保存できませんでした：%1"
"Could not save the free gift tier: %1","ノベルティ階層を保存できませんでした：%1"
"Could not save the offer: %1","オファーを保存できませんでした：%1"
"Could not save the score rule: %1","スコアルールを保存できませんでした：%1"
"Could not save the segment: %1","セグメントを保存できませんでした：%1"
"Coupon code prefix","クーポンコードの接頭辞"
"Created","作成日"
"Credit Limit","与信限度額"
"Credit Limit Alert","与信限度額アラート"
"Customer ID","顧客ID"
"Customer Registered","顧客登録"
"Dashboard","ダッシュボード"
"Days Since Last Order","前回注文からの経過日数"
"Days added per self-extension","セルフ延長1回あたりの追加日数"
"Delay (minutes)","遅延（分）"
"Delete","削除"
"Delete %1 ""%2""","%1「%2」を削除"
"Delete raw events older than this many days","この日数より古い生イベントを削除"
"Demographic-attribute lead scoring rules","属性ベースのリードスコアリングルール"
"Diagnostic view of detected reorder patterns","検出されたリピート購入パターンの診断ビュー"
"Disabled","無効"
"Drag a block from the palette onto the canvas, then drag from the small dot on the right edge of one node to the dot on the left edge of the next to connect them. A campaign can start from more than one trigger — every one of them must lead all the way through to an Action before you can save. Then ""Apply flow to form & Save"" writes the graph into the form below and saves through the same action the Save button uses.","パレットからブロックをキャンバスにドラッグし、ノードの右端の小さな点から次のノードの左端の点へドラッグして接続します。キャンペーンは複数のトリガーから開始できますが、保存する前にすべてのトリガーが最終的にアクションまでつながっている必要があります。「フローをフォームに反映して保存」を押すと、この構成が下のフォームに書き込まれ、保存ボタンと同じ処理で保存されます。"
"Edit","編集"
"Edit Campaign ""%1""","キャンペーン「%1」を編集"
"Edit Content Block ""%1""","コンテンツブロック「%1」を編集"
"Edit Free Gift Offer ""%1""","ノベルティオファー「%1」を編集"
"Edit Score Rule ""%1""","スコアルール「%1」を編集"
"Edit Segment ""%1""","セグメント「%1」を編集"
"Email","メールアドレス"
"Email template identifier","メールテンプレート識別子"
"Enable on-site popups","サイト内ポップアップを有効化"
"Enabled","有効"
"Enter ""Discount Qty Step (Buy X)"" and ""Discount Amount"" (as Y, free qty) to see a preview.","「割引数量ステップ（X個購入）」と「割引数量」（無料になる数量Y）を入力するとプレビューが表示されます。"
"Equals","等しい"
"Escalate (resend) if not decided within this many days","この日数以内に判断されない場合はエスカレーション（再送）"
"Expires","有効期限"
"Every campaign's trigger(s) and its action chain's timing in one place — ""offset"" is the cumulative wait since the trigger fires, not just that step's own delay, since each action's delay_minutes counts from the PREVIOUS action, not from the start.","各キャンペーンのトリガーとアクションチェーンのタイミングを一か所で確認できます — 「オフセット」はトリガー発火からの累積待機時間であり、そのステップ単体の遅延ではありません。各アクションのdelay_minutesは開始時点からではなく、直前のアクションからの待機時間としてカウントされるためです。"
"Every campaign's trigger(s) and action timing in one place","各キャンペーンのトリガーとアクションのタイミングを一か所で確認"
"Extend by %1 day(s)","%1日延長"
"F Quintile","F五分位"
"Feed URL","フィードURL"
"Feed refreshed.","フィードを更新しました。"
"First Name","名"
"Flow","フロー"
"Free Gift Above Threshold","一定額以上でノベルティ"
"Free Gift Offer Information","ノベルティオファー情報"
"Free Gift Offers","ノベルティオファー"
"Free gift offer with id ""%1"" does not exist.","ID「%1」のノベルティオファーは存在しません。"
"Free gift offers","ノベルティオファー"
"Free gift product with id ""%1"" does not exist.","ID「%1」のノベルティ商品は存在しません。"
"Free gift tier with id ""%1"" does not exist.","ID「%1」のノベルティ階層は存在しません。"
"General","一般"
"Gift pool — SKUs a customer may pick from once eligible","ノベルティプール — 条件を満たした顧客が選択できるSKU"
"Gift slots this tier adds","この階層が追加するノベルティ枠数"
"HTML","HTML"
"HTML Snippet","HTMLスニペット"
"Hard-blocks order placement for a logged-in customer whose credit limit utilization has reached 100%. Disabled by default — separate opt-in from the warning email above.","与信限度額の利用率が100%に達したログイン中の顧客について、注文を完全にブロックします。デフォルトでは無効 — 上記の警告メールとは別に有効化する設定です。"
"How many feed items to include","含めるフィード件数"
"How many products to include","含める商品数"
"ID","ID"
"Identifier","識別子"
"Invalid bulk action type.","無効な一括操作タイプです。"
"Invalid offer.","無効なオファーです。"
"Invalid or already-used approval token.","承認トークンが無効か、すでに使用されています。"
"Invalid segment.","無効なセグメントです。"
"Item Count","件数"
"Last Name","姓"
"Last Order","前回の注文"
"Last Recalculated","最終再計算日時"
"Lead Scoring","リードスコアリング"
"Leave blank if you filled in Tag / Minimum order total / Minimum score above.","上記のタグ／最小注文合計額／最低スコアを入力済みの場合は空欄のままにしてください。"
"Leave blank if you filled in one of the dedicated fields above.","上記の専用フィールドのいずれかを入力済みの場合は空欄のままにしてください。"
"M Quintile","M五分位"
"Manage cascading-tier gift offers and their gift pools","累積階層型ノベルティオファーとそのノベルティプールを管理"
"Maximum reminders per cart","カートごとの最大リマインダー送信回数"
"Maximum times a customer can self-extend an offer","顧客がオファーをセルフ延長できる最大回数"
"Message","メッセージ"
"Minimum cart subtotal","最小カート小計"
"Minimum cart subtotal to trigger a reminder","リマインダーをトリガーする最小カート小計"
"Minimum days between repeated alerts for the same threshold","同一しきい値での再アラート送信間隔（最小日数）"
"Minimum order total","最小注文合計額"
"Minimum orders to detect a pattern","パターン検出に必要な最小注文数"
"Minimum score","最低スコア"
"Minimum time between two popups shown to the same visitor/customer. 0 disables the cap.","同一の訪問者／顧客に2回ポップアップを表示する間隔（最小時間）。0で上限を無効化します。"
"Missing campaign id.","キャンペーンIDが指定されていません。"
"Missing content block id.","コンテンツブロックIDが指定されていません。"
"Missing free gift offer id.","ノベルティオファーIDが指定されていません。"
"Missing score rule id.","スコアルールIDが指定されていません。"
"Missing segment id.","セグメントIDが指定されていません。"
"My Offers","マイオファー"
"Name","名前"
"New Campaign","新規キャンペーン"
"New Content Block","新規コンテンツブロック"
"New Free Gift Offer","新規ノベルティオファー"
"New Score Rule","新規スコアルール"
"New Segment","新規セグメント"
"Next Expected","次回予測日"
"No authenticated customer for this request.","このリクエストには認証済みの顧客がいません。"
"No actions configured","アクションが設定されていません"
