"""Discount Amount"" (Y) must not exceed ""Discount Qty Step"" (X), or no discount will apply.","""Valor do desconto"" (Y) não pode exceder o ""Passo de quantidade do desconto"" (X), ou nenhum desconto será aplicado."
"+ New Campaign","+ Nova campanha"
"+%1 min","+%1 min"
"Abandoned Cart Recovery","Recuperação de carrinho abandonado"
"Action","Ação"
"Action timeline","Linha do tempo das ações"
"Actions","Ações"
"Actions (run in order)","Ações (executadas em ordem)"
"Add Action","Adicionar ação"
"Add Condition","Adicionar condição"
"Add New Campaign","Adicionar nova campanha"
"Add New Content Block","Adicionar novo bloco de conteúdo"
"Add New Free Gift Offer","Adicionar nova oferta de brinde"
"Add New Score Rule","Adicionar nova regra de pontuação"
"Add New Segment","Adicionar novo segmento"
"Add Points","Adicionar pontos"
"Add SKU","Adicionar SKU"
"Add Tag","Adicionar tag"
"Add Tier","Adicionar nível"
"Add Trigger","Adicionar gatilho"
"Apply flow to form & Save","Aplicar fluxo ao formulário e salvar"
"Are you sure you want to delete this %1?","Tem certeza de que deseja excluir %1?"
"Are you sure you want to delete this campaign?","Tem certeza de que deseja excluir esta campanha?"
"Are you sure you want to delete this content block?","Tem certeza de que deseja excluir este bloco de conteúdo?"
"Are you sure you want to delete this free gift offer?","Tem certeza de que deseja excluir esta oferta de brinde?"
"Are you sure you want to delete this score rule?","Tem certeza de que deseja excluir esta regra de pontuação?"
"Are you sure you want to delete this segment?","Tem certeza de que deseja excluir este segmento?"
"Assigned Sales Rep — Email","Representante de vendas atribuído — E-mail"
"Assigned Sales Rep — Name","Representante de vendas atribuído — Nome"
"Assigned Sales Rep — Phone","Representante de vendas atribuído — Telefone"
"Attribute","Atributo"
"Attribute Code","Código do atributo"
"Avg. Interval (days)","Intervalo médio (dias)"
"B2C Lifecycle Emails (Welcome / Win-back)","E-mails de ciclo de vida B2C (boas-vindas / reengajamento)"
"Back","Voltar"
"Block Checkout When Over Credit Limit","Bloquear checkout ao ultrapassar o limite de crédito"
"Build and manage automation campaigns","Crie e gerencie campanhas de automação"
"Bulk actions on current members","Ações em massa sobre os membros atuais"
"Buy %1, get %2 free — customers pay for %1 out of every %3 (%4% off that batch).","Compre %1, leve %2 grátis — o cliente paga %1 a cada %3 (%4% de desconto nesse lote)."
"CTA button URL","URL do botão CTA"
"CTA button label","Texto do botão CTA"
"Call-to-action button URL","URL do botão de chamada para ação"
"Call-to-action button label","Texto do botão de chamada para ação"
"Campaign Information","Informações da campanha"
"Campaign Calendar","Calendário de campanhas"
"Campaign","Campanha"
"Campaign action with id ""%1"" does not exist.","A ação de campanha com id ""%1"" não existe."
"Campaign condition with id ""%1"" does not exist.","A condição de campanha com id ""%1"" não existe."
"Campaign trigger with id ""%1"" does not exist.","O gatilho de campanha com id ""%1"" não existe."
"Campaign with id ""%1"" does not exist.","A campanha com id ""%1"" não existe."
"Campaigns","Campanhas"
"Campaigns by trigger","Campanhas por gatilho"
"Can be negative (a penalty rule).","Pode ser negativo (uma regra de penalidade)."
"Can be negative to subtract points when this rule matches","Pode ser negativo para subtrair pontos quando esta regra for atendida"
"Cart Abandoned","Carrinho abandonado"
"Cart Price Rule","Regra de preço do carrinho"
"Cart Price Rule ID","ID da regra de preço do carrinho"
"Cart price rule ID","ID da regra de preço do carrinho"
"Cart with id ""%1"" does not exist.","O carrinho com id ""%1"" não existe."
"Cascading tiers — every tier the cart subtotal reaches ADDS its gift slots, cumulative","Níveis em cascata — cada nível que o subtotal do carrinho atinge ADICIONA suas vagas de brinde, de forma cumulativa"
"Category","Categoria"
"Category ID","ID da categoria"
"Cheapest item in qualifying set free (Ordo Automation)","Item mais barato do conjunto elegível grátis (Ordo Automation)"
"Condition","Condição"
"Conditions","Condições"
"Conditions (all must match — AND)","Condições (todas devem corresponder — AND)"
"Conditions (all must pass — AND)","Condições (todas devem ser atendidas — AND)"
"Configuration","Configuração"
"Contains","Contém"
"Content Block Information","Informações do bloco de conteúdo"
"Content Blocks","Blocos de conteúdo"
"Content block","Bloco de conteúdo"
"Content block not found.","Bloco de conteúdo não encontrado."
"Could not add gift ""%1"" to the cart: %2","Não foi possível adicionar o brinde ""%1"" ao carrinho: %2"
"Could not delete the campaign action: %1","Não foi possível excluir a ação de campanha: %1"
"Could not delete the campaign condition: %1","Não foi possível excluir a condição de campanha: %1"
"Could not delete the campaign trigger: %1","Não foi possível excluir o gatilho de campanha: %1"
"Could not delete the campaign: %1","Não foi possível excluir a campanha: %1"
"Could not delete the content block: %1","Não foi possível excluir o bloco de conteúdo: %1"
"Could not delete the free gift offer: %1","Não foi possível excluir a oferta de brinde: %1"
"Could not delete the free gift product: %1","Não foi possível excluir o produto de brinde: %1"
"Could not delete the free gift tier: %1","Não foi possível excluir o nível de brinde: %1"
"Could not delete the offer: %1","Não foi possível excluir a oferta: %1"
"Could not delete the score rule: %1","Não foi possível excluir a regra de pontuação: %1"
"Could not delete the segment: %1","Não foi possível excluir o segmento: %1"
"Could not save the campaign action: %1","Não foi possível salvar a ação de campanha: %1"
"Could not save the campaign condition: %1","Não foi possível salvar a condição de campanha: %1"
"Could not save the campaign trigger: %1","Não foi possível salvar o gatilho de campanha: %1"
